DateTime,AddedIPs,RemovedIPs
1434704244,0,768
1434720878,0,1024
1434920445,8192,0
1434996194,1024,0
1435207636,16384,0
1435245428,1024,0
1435899172,256,4096
1435966271,1024,0
1436391594,8192,0
1436444125,65536,0
1436510415,3072,0
1436574406,17408,65536
1436806614,69632,0
1436964586,1114112,0
1437251964,1179648,65792
1437339895,196608,20480
1437396031,256,0
1437411138,1536,256
1437453059,1024,0
1437575344,32768,13312
1437853246,65536,1024
1438108717,0,16384
1438126204,4096,0
1438160488,65536,0
1438276833,0,69632
1438365429,1024,0
1438413200,512,0
1438431789,2048,512
1438521269,9216,0
1438648092,1024,66304
1438980788,0,65792
1439074091,131072,0
1439196977,73728,0
1439585020,8192,0
1439592096,0,0
1439815563,256,66560
1439921715,512,4352
1439974018,512,0
1440167976,0,1024
1440198543,16384,0
1440281364,0,10496
1440360976,65536,0
1440370762,65536,0
1440455731,1024,0
1440569425,0,0
1440690194,196608,0
1440710277,65536,0
1440834857,65536,0
1440963973,0,256
1441113555,1024,0
1441294594,393216,0
1441313811,262144,0
1441355600,262144,0
1441403340,131072,0
1441447011,4096,0
1441476490,65536,0
1441653740,65536,768
1441738261,0,512
1441805921,66560,0
1442234046,65536,0
1442392665,2048,0
1442517988,65536,256
1442569190,1024,0
1442600017,36864,0
1442654760,67584,0
1442697298,66048,0
1442770276,65536,0
1442910045,8192,512
1442943458,131072,0
1442956529,1024,0
1443009979,4608,0
1443027869,1024,0
1443083850,0,1024
1443118635,6144,0
1443183595,65536,0
1443202527,65536,0
1443702267,131072,37376
1443777814,256,0
1443902388,65536,0
1444133166,1024,69632
1444209863,4096,256
1444227482,65536,0
1444341986,2048,0
1444527527,0,65536
1444727542,65536,256
1444823355,262144,1280
1445808345,0,196608
1445864718,2048,0
1445980570,16777216,0
1446118660,1024,17932544
1446460435,768,24576
1446477186,0,1024
1446847242,4096,65536
