DateTime,AddedIPs,RemovedIPs
1434735000,3359,1803
1434778200,1334,2534
1434821400,1484,397
1434864600,1461,2066
1434907800,1169,1627
1434951000,1102,1502
1434994200,1331,1416
1435037400,1502,1383
1435080600,1510,1284
1435123800,1364,1232
1435167000,1441,1301
1435210200,1640,1337
1435253400,1457,1577
1435296600,1586,1447
1435339800,1578,1520
1435383000,1743,1672
1435426200,1850,1450
1435469400,1321,1477
1435512600,984,1561
1435555800,340,1677
1435599000,2573,1651
1435642200,1793,2320
1435685400,1305,238
1435728600,1299,1434
1435771800,1476,1427
1435815000,1152,1592
1435858200,957,1510
1435901400,1053,1393
1435944600,818,1290
1435987800,0,1303
1436031000,0,3640
1436074200,0,81
1436117400,0,1191
1436160600,0,24
1436203800,5455,4
1436247000,758,19
1436290200,1246,1001
1436333400,849,1437
1436376600,1347,892
1436419800,1033,964
1436463000,1037,1015
1436506200,838,1010
1436549400,1163,1239
1436612400,1320,1376
1436655600,1484,1037
1436698800,1108,1033
1436742000,916,885
1436785200,689,1099
1436828400,886,1089
1436871600,929,976
1436914800,610,1119
1436958000,871,983
1437001200,1220,1064
1437044400,1080,911
1437087600,296,692
1437130800,0,990
1437174000,0,3096
1437217200,0,74
1437260400,0,1120
1437303600,0,12
1437346800,0,15
1437390000,5720,14
1437433200,1639,12
1437476400,993,318
1437519600,1389,1578
1437562800,1261,1532
1437660000,3526,2932
1437703200,1825,1296
1437746400,1259,1175
1437789600,1249,1591
1437832800,1418,1636
1437876000,1190,1727
1437919200,998,1454
1437962400,1231,1330
1438005600,1131,1216
1438048800,2175,1167
1438092000,1601,1780
1438135200,1816,726
1438178400,1587,1317
1438221600,1564,1676
1438264800,765,1691
1438308000,839,1754
1438351200,303,1572
1438394400,0,1764
1438437600,0,2977
1438480800,0,61
1438524000,0,1060
1438567200,0,18
1438610400,12213,25
1438653600,2291,16
1438696800,397,247
1438740000,1042,9924
1438783200,455,2464
1438947003,3751,2225
1438990200,1209,767
1439033400,1153,757
1439076600,1203,433
1439119800,820,601
1439163000,479,729
1439206200,744,622
1439249400,1503,2943
1439292600,1610,190
1439335800,1446,418
1439379000,1246,802
1439422200,1001,457
1439465400,819,626
1439508600,753,1926
1439551800,758,1517
1439595000,1173,1325
1439638200,593,1215
1439681400,1887,906
1439724600,763,767
1439767800,2000,712
1439811000,1058,644
1439854200,981,1309
1439897400,508,481
1439940600,873,979
1439983800,1221,407
1440027000,2151,2703
1440070200,1360,1044
1440113400,314,919
1440158400,0,776
1440201600,2228,2604
1440244800,999,59
1440288000,2265,600
1440331200,1905,742
1440374400,815,267
1440417600,871,117
1440460800,965,457
1440504000,825,1200
1440547200,1033,1645
1440590400,962,5611
1440633600,1082,1614
1440676800,1081,806
1440720000,2598,824
1440763200,1264,754
1440806400,1030,1002
1440849600,1136,997
1440892800,962,1190
1440936000,660,1199
1440979200,826,1416
1441022400,728,966
1441065600,1227,949
1441108800,1247,835
1441152000,911,862
1441195200,620,717
1441238400,783,909
1441281600,656,824
1441324800,720,1212
1441368000,547,1159
1441411200,550,873
1441454400,670,633
1441497600,959,879
1441540800,860,683
1441584000,922,490
1441627200,1049,441
1441670400,2523,516
1441713600,3242,546
1441756800,1147,852
1441800000,905,843
1441843200,4286,878
1441886400,542,6118
1441929600,799,892
1441972800,683,335
1442016000,1032,2163
1442059200,1230,2704
1442102400,976,784
1442145600,754,574
1442188800,493,915
1442232000,805,663
1442275200,869,818
1442318400,1112,1085
1442361600,2227,847
1442404800,1318,964
1442448000,1365,579
1442491200,849,754
1442534400,1066,1170
1442577600,1220,767
1442620800,1218,994
1442664000,867,937
1442707200,821,1306
1442750400,602,829
1442793600,761,849
1442836800,731,1106
1442880000,877,1092
1442923200,669,1005
1442966400,564,700
1443009600,632,662
1443052800,1016,787
1443096000,1107,740
1443139200,1311,807
1443182400,1255,654
1443225600,1083,624
1443268800,288,674
1443312000,419,927
1443355200,328,1065
1443398400,336,1362
1443441600,290,1213
1443484800,357,1037
1443528000,857,270
1443571200,999,471
1443614400,921,365
1443657600,1170,375
1443700800,762,296
1443744000,754,447
1443787200,535,888
1443830400,558,997
1443873600,481,941
1443917700,306,1249
1443960900,188,847
1444004100,182,1485
1444047300,538,757
1444090500,714,527
1444133700,595,421
1444176900,874,250
1444220100,581,215
1444263300,394,314
1444306500,314,591
1444349700,474,845
1444392900,362,689
1444436100,388,819
1444479300,265,527
1444522500,287,451
1444565700,240,325
1444608900,260,367
1444652100,544,317
1444695300,799,274
1444738500,581,230
1444781700,370,235
1444824900,333,295
1444868100,317,526
1444911300,257,450
1444954500,325,470
1444997700,270,388
1445040900,253,318
1445084100,218,249
1445127300,604,370
1445170500,480,279
1445213700,534,294
1445256900,401,220
1445300100,480,302
1445343300,467,225
1445386500,1176,603
1445429700,541,543
1445472900,644,640
1445537700,843,686
1445580900,565,505
1445624100,277,851
1445969700,3054,3589
1446012900,533,530
1446057000,467,577
1446100200,617,601
1446143400,573,599
1446187500,374,625
1446230700,495,562
1446274800,365,489
1446318000,167,538
1446361200,225,690
1446404400,391,454
1446448500,339,278
1446491700,314,235
1446534900,327,205
1446578100,258,341
1446621300,349,294
1446687000,556,567
1446730200,366,307
1446773400,1054,265
1446816600,600,359
1446859800,914,350
1446903000,583,338
1446947100,631,484
1446990300,329,369
1447033500,220,500
1447076700,232,352
1447119900,334,649
1447163100,345,546
1447206300,745,461
1447249500,2745,378
1447292700,1697,330
1447335900,1812,331
1447379100,1681,334
1447422300,2248,771
1447465500,2675,804
1447508700,2529,9491
1447551900,2218,1318
1447595100,2506,2409
1447638300,2076,2658
1447681500,3040,2607
1447724700,3529,2070
1447767900,12668,1740
1447811100,2348,1545
1447854300,2669,1350
