DateTime,Entries,UniqueIPs
1434197235,749,12816232
1434283635,749,12816232
1434283635,749,12816232
1434542832,750,12817256
1434629234,750,12817256
1434629234,750,12817256
1435838844,751,12818280
1436270833,754,12821352
1436357235,755,12822376
1436530034,757,12824424
1436962042,759,12826472
1437048434,762,12829544
1437134840,763,12830568
1437221233,762,12829544
1437653234,763,12830568
1438430834,764,12831592
1439122061,764,12831592
1439122061,764,12831592
1439122061,764,12831592
1439208442,764,12831592
1439381237,765,12832616
1439640436,765,12832616
1440158843,766,12833640
1440158843,766,12833640
1440245241,767,12834664
1440504438,767,12867432
1440590838,767,12867432
1441714034,768,12868456
1441886837,768,12868456
1441973236,769,12870504
1443096438,772,12872808
1443269240,773,12873832
1444824441,774,12874856
1444997241,775,12875880
1445429241,776,12876904
1445602049,776,12877672
1446725237,777,12877928
1447157234,779,12879976
1447330034,780,12881000
1447416435,781,12882024
1447503066,782,12883048
1447848451,783,12884072
