DateTime,Entries,UniqueIPs
1434197235,2634,11723360
1434283635,2634,11723360
1434283635,2634,11723360
1434629234,2634,11723360
1434629234,2634,11723360
1434715632,2634,11719264
1434802034,2635,11720288
1435234037,2634,11712096
1435406833,2633,11679328
1435925231,2632,11678816
1436270833,2633,11679840
1436962042,2634,11680864
1437221233,2633,11680608
1437566840,2632,11680352
1437739633,2631,11680096
1437826038,2632,11681120
1438085235,2631,11680864
1438258044,2631,11681632
1438344436,2632,11682656
1438690037,2633,11683680
1439035640,2634,11684704
1439122061,2634,11684704
1439122061,2634,11684704
1439122061,2634,11684704
1439208442,2634,11684704
1439467637,2633,11684192
1439640436,2633,11684192
1439986039,2632,11667808
1440158843,2632,11667808
1440245241,2631,11666784
1440504438,2630,11666528
1440590838,2631,11667552
1440590838,2631,11667552
1440763639,2632,11668576
1443096438,2633,11669600
1443528434,2631,11668320
1443701235,2632,11669344
1443787639,2632,11669600
1443874040,2633,11670624
1444219636,2632,11670368
1444392440,2631,11670880
1444478841,2632,11671136
1444824441,2633,11672160
1444910840,2634,11674208
1445515642,2634,11657824
1446120433,2635,11666016
1446206833,2636,11667040
1446725237,2637,11668064
1447243636,2637,11668320
1447330034,2638,11672416
1447503066,2639,11673440
1447848451,2640,11674464
