DateTime,AddedIPs,RemovedIPs
1434947401,145419,4098
1435033801,1539,1541
1435120201,2310,2309
1435206601,2564,2565
1435293002,1540,1555
1435552201,28676,5895
1435638601,2057,2048
1435725001,1796,1796
1435811401,1795,2049
1435897801,2821,2819
1436157001,4352,3072
1436243401,1798,1541
1436329801,2061,2059
1436416201,2309,2312
1436502601,1796,1801
1436761802,96518,68106
1436848202,3081,2820
1436934601,2821,2819
1437021001,2057,2053
1437107401,2306,2304
1437366601,2366724,68868
1437453001,2821,2819
1437539401,2310,2562
1437625801,3075,3075
1437712201,2821,2819
1437971402,299014,36356
1438057801,2565,2563
1438144202,3076,3074
1438230601,2818,2819
1438317001,3075,3073
1438489801,72197,85509
1438576201,2051,2050
1438662602,2816,3188
1438749001,2816,2816
1438921801,2816,2816
1439181002,144384,135168
1439267401,3328,3328
1439353801,3072,3072
1439440202,3328,3328
1439526601,3328,3328
1439785801,85248,3328
1439958601,3584,3584
1440045001,2816,2816
1440131401,2048,2048
1440390601,20224,84992
1440477001,3328,3328
1440563401,2560,2816
1440711631,3458,2816
1440736201,2816,2817
1440995401,462857,3073
1441081801,3588,3587
1441168201,2820,2822
1441254601,2818,3073
1441341002,3077,2816
1441686602,1122571,3589
1441773001,3588,3587
1441859401,3074,3072
1441945802,3586,3587
1442032201,3329,3329
1442205001,135173,4369
1442291401,3330,3331
1442377801,3332,3329
1442550601,2816,2820
1442723401,307970,3586
1442809801,3331,3328
1442896201,3076,3072
1442982601,3079,3075
1443069001,3587,3588
1443155401,3077,3334
1443414601,352518,5126
1443501001,3843,3842
1443587402,3843,3845
1443673802,3588,3587
1443760201,3334,3329
1444019402,199942,44546
1444105801,3332,3330
1444192201,3077,3073
1444278601,3843,3845
1444365002,3844,3842
1444624201,76548,135169
1444710601,3842,4096
1444797001,3589,3330
1444883401,3843,3843
1444969801,3847,3844
1445056201,4100,4100
1445229001,331274,136194
1445315401,3332,3330
1445401802,3843,3843
1445488201,3074,3074
1445574601,3603,3331
1445747401,3336,69124
1445833801,3842,3841
1445920201,3840,3842
1446006601,3840,3840
1446093001,4096,4096
1446179401,4096,4096
1446265801,3840,3584
1446442202,6911,1163520
1446528601,3840,4295
1446615002,4352,4352
1446701401,3584,3328
1446787801,4096,4352
1447047002,9626,91136
1447133401,3842,4096
1447219801,4356,4096
1447306201,4098,4096
1447392601,4098,4096
1447651801,4099,10492
1447738201,4354,4352
